X,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,PriceRange,Reservations,Monday_mealtype,Tuesday_mealtype,Wednesday_mealtype,Thursday_mealtype,Friday_mealtype,Saturday_mealtype,Sunday_mealtype,Sentiment_mean
2589,_cRDDAasE-4584eXN_5Ecw,Taco Bell,1004 N. 24th St.,Phoenix,AZ,85008,33.458733,-112.030345,2,4,1,"{'RestaurantsReservations': 'False', 'NoiseLevel': ""'average'"", 'RestaurantsAttire': ""'casual'"", 'Caters': 'False', 'WiFi': ""'free'"", 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","Tex-Mex, Mexican, Fast Food","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-20:0', 'Sunday': '11:0-19:0'}",1,0,11111,11111,11111,11111,11111,11111,11110,0.529318988
625,_DiGwfdiH913E4LURwb2qg,New India Bazaar,2544 N 7th St,Phoenix,AZ,85006,33.4760486,-112.0654671,3.5,157,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'Alcohol': ""u'none'"", 'BikeParking': 'False', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'no'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True'}","Indian, Specialty Food, Buffets, Grocery, Ethnic Food","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,1,10000,11110,11110,11110,11110,11110,11110,0.850598107
7996,_DPJ_PHJnXsuhYhsgBA0Xw,Durant's,2611 N Central Ave,Phoenix,AZ,85004,33.47720641,-112.0735331,4,873,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'dressy'"", 'RestaurantsPriceRange2': '3', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForDancing': 'False', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'False', 'BikeParking': 'True', 'BYOBCorkage': ""'no'"", 'WiFi': ""u'no'"", 'NoiseLevel': ""u'average'"", 'HappyHour': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'HasTV': 'True', 'Smoking': ""u'no'"", 'RestaurantsDelivery': 'False', 'GoodForKids': 'False', 'Caters': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'Alcohol': ""'full_bar'"", 'CoatCheck': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsTableService': 'True'}","Burgers, Wine Bars, Steakhouses, Bars, Nightlife, Diners, Seafood","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '16:30-22:0'}",3,1,11000,11000,11000,11000,11000,11000,11000,0.793772712
2786,_e3rChyednoh47n2cjGv2w,Adela's Italian,"4041 E Thomas Rd, Ste 107",Phoenix,AZ,85018,33.47985225,-111.9939478,4.5,299,1,"{'WiFi': ""'free'"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTableService': 'True', 'HasTV': 'False', 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""'full_bar'"", 'Caters': 'True', 'RestaurantsReservations': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}""}","Italian, Salad","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '14:0-22:0', 'Sunday': '14:0-21:0'}",2,1,11110,11110,11110,11110,11110,11100,11100,0.91473177
2472,_E6j0AVb3lkLBLzvPHInXA,Smashburger,"21001 N Tatum Blvd, Ste 34-1140",Phoenix,AZ,85050,33.67599072,-111.970882,3,131,1,"{'BikeParking': 'True', 'HasTV': 'False', 'WiFi': ""'no'"", 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'NoiseLevel': ""u'average'"", 'DriveThru': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","American (Traditional), Salad, Hot Dogs, Burgers, Sandwiches, Chicken Wings","{'Monday': '10:30-21:30', 'Tuesday': '10:30-21:30', 'Wednesday': '10:30-21:30', 'Thursday': '10:30-21:30', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '10:30-21:30'}",1,0,11111,11111,11111,11111,11111,11111,11111,0.682559398
10381,_eKvk2GoGKb3CoYolHgRlg,Fresko A Mediterranean Kitchen,5033 E Elliot Rd,Phoenix,AZ,85044,33.347893,-111.9768218,4.5,132,1,"{'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'DogsAllowed': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'RestaurantsTableService': 'False', 'OutdoorSeating': 'True', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '2', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'BikeParking': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'NoiseLevel': ""u'quiet'"", 'RestaurantsDelivery': 'True', 'Alcohol': ""u'none'"", 'WiFi': ""u'free'"", 'RestaurantsReservations': 'False'}","Sandwiches, Mediterranean, Vegetarian, Greek","{'Monday': '0:0-0:0', 'Tuesday': '10:30-20:0', 'Wednesday': '10:30-20:0', 'Thursday': '10:30-20:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0'}",2,0,11111,11111,11111,11111,11111,11111,10000,0.846853913
6413,_iEl9sCLsvXEFHUWPvgsAg,Chico Malo,"50 W Jefferson St, Ste 100",Phoenix,AZ,85004,33.44789103,-112.0738993,4,373,1,"{'Caters': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'free'"", 'RestaurantsTableService': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True'}","Tapas/Small Plates, Tapas Bars, Mexican","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-0:0', 'Saturday': '10:0-0:0', 'Sunday': '8:0-21:0'}",2,1,11110,11110,11110,11110,11110,11111,11111,0.851658445
3989,_ikylomPLdTgVtE0xWR_1Q,Rolberto's,5032 N 7th St,Phoenix,AZ,85014,33.5102487,-112.0652928,3.5,41,1,"{'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTableService': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'False', 'HasTV': 'False', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'False', 'NoiseLevel': ""u'quiet'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Alcohol': ""'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'WiFi': ""'no'""}","Breakfast & Brunch, Mexican","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,0,11111,11111,11111,11111,11111,11111,11111,0.782050779
5925,_imnJaX4EG_BaoXMCyxFig,McDonald's,6005 S Central Ave,Phoenix,AZ,85040,33.3919383,-112.072761,1.5,45,1,"{'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'BikeParking': 'False', 'HasTV': 'True', 'Alcohol': ""'none'"", 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsDelivery': 'False'}","Fast Food, Coffee & Tea, Burgers","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,0,11111,11111,11111,11111,11111,11111,11111,0.435819952
2656,_IsmLuyEvcKzcBmbMHCCfg,Julioberto's,1832 W Thunderbird Rd,Phoenix,AZ,85023,33.6113884,-112.0987488,2.5,23,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True'}","Fast Food, Mexican","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,0,11111,11111,11111,11111,11111,11111,11111,0.715061464
